,PHU_orig,PHU_dest,week,flow
340,2226,2237,2020-02-17,90.0
341,2226,2237,2020-02-24,320.0
342,2226,2237,2020-03-02,490.0
343,2226,2237,2020-03-09,590.0
344,2226,2237,2020-03-16,620.0
345,2226,2237,2020-03-23,160.0
346,2226,2237,2020-03-30,190.0
347,2226,2237,2020-04-06,520.0
348,2226,2237,2020-04-20,390.0
349,2226,2237,2020-04-27,400.0
350,2226,2237,2020-05-04,590.0
351,2226,2237,2020-05-11,70.0
352,2226,2237,2020-05-18,170.0
353,2226,2237,2020-05-25,660.0
354,2226,2237,2020-06-01,390.0
355,2226,2237,2020-06-08,140.0
356,2226,2237,2020-06-15,250.0
357,2226,2237,2020-06-22,370.0
358,2226,2237,2020-06-29,550.0
359,2226,2237,2020-07-06,540.0
360,2226,2237,2020-07-13,420.0
361,2226,2237,2020-07-20,550.0
362,2226,2237,2020-07-27,400.0
363,2226,2237,2020-08-03,340.0
364,2226,2237,2020-08-10,350.0
365,2226,2237,2020-08-17,420.0
366,2226,2237,2020-08-24,910.0
367,2226,2237,2020-08-31,220.0
368,2226,2237,2020-09-07,250.0
369,2226,2237,2020-09-14,660.0
370,2226,2237,2020-09-21,640.0
371,2226,2237,2020-09-28,380.0
372,2226,2237,2020-10-05,510.0
373,2226,2237,2020-10-12,820.0
374,2226,2237,2020-10-19,270.0
375,2226,2237,2020-10-26,630.0
376,2226,2237,2020-11-02,110.0
377,2226,2237,2020-11-09,360.0
378,2226,2237,2020-11-16,380.0
379,2226,2237,2020-11-23,320.0
380,2226,2237,2020-12-07,640.0
381,2226,2237,2020-12-14,350.0
382,2226,2237,2020-12-21,840.0
383,2226,2237,2020-12-28,640.0
384,2226,2238,2020-02-03,120.0
385,2226,2238,2020-02-17,20.0
386,2226,2238,2020-03-02,60.0
387,2226,2238,2020-03-09,100.0
388,2226,2238,2020-03-16,50.0
389,2226,2238,2020-03-30,160.0
390,2226,2238,2020-04-06,150.0
391,2226,2238,2020-05-25,30.0
392,2226,2238,2020-06-01,90.0
393,2226,2238,2020-06-08,70.0
394,2226,2238,2020-06-15,60.0
395,2226,2238,2020-06-22,270.0
396,2226,2238,2020-06-29,100.0
397,2226,2238,2020-07-06,30.0
398,2226,2238,2020-07-13,180.0
399,2226,2238,2020-07-20,260.0
400,2226,2238,2020-07-27,210.0
401,2226,2238,2020-08-03,290.0
402,2226,2238,2020-08-10,30.0
403,2226,2238,2020-08-24,170.0
404,2226,2238,2020-08-31,40.0
405,2226,2238,2020-09-07,180.0
406,2226,2238,2020-09-21,170.0
407,2226,2238,2020-09-28,30.0
408,2226,2238,2020-10-05,50.0
409,2226,2238,2020-10-12,60.0
410,2226,2238,2020-11-02,50.0
411,2226,2238,2020-11-09,70.0
412,2226,2238,2020-11-16,220.0
413,2226,2238,2020-11-23,40.0
414,2226,2238,2020-12-14,50.0
415,2226,2238,2020-12-21,280.0
416,2226,2240,2020-01-20,150.0
417,2226,2240,2020-01-27,90.0
418,2226,2240,2020-02-10,50.0
419,2226,2240,2020-02-17,30.0
420,2226,2240,2020-02-24,70.0
421,2226,2240,2020-03-02,190.0
422,2226,2240,2020-03-09,190.0
423,2226,2240,2020-03-16,390.0
424,2226,2240,2020-03-23,70.0
425,2226,2240,2020-03-30,230.0
426,2226,2240,2020-04-06,130.0
427,2226,2240,2020-06-29,130.0
428,2226,2240,2020-07-06,200.0
429,2226,2240,2020-07-13,420.0
430,2226,2240,2020-07-20,580.0
431,2226,2240,2020-07-27,820.0
432,2226,2240,2020-08-03,380.0
433,2226,2240,2020-08-10,430.0
434,2226,2240,2020-08-17,120.0
435,2226,2240,2020-08-24,360.0
436,2226,2240,2020-08-31,70.0
437,2226,2240,2020-09-07,170.0
438,2226,2240,2020-09-14,30.0
439,2226,2240,2020-09-28,80.0
440,2226,2240,2020-10-12,200.0
441,2226,2240,2020-10-19,70.0
442,2226,2240,2020-10-26,130.0
443,2226,2240,2020-11-02,120.0
444,2226,2240,2020-11-23,330.0
445,2226,2240,2020-11-30,40.0
446,2226,2240,2020-12-14,80.0
447,2226,2240,2020-12-21,180.0
448,2226,2240,2020-12-28,40.0
449,2226,2241,2020-01-13,170.0
450,2226,2241,2020-01-20,130.0
451,2226,2241,2020-02-03,40.0
452,2226,2241,2020-02-10,180.0
453,2226,2241,2020-02-17,130.0
454,2226,2241,2020-02-24,50.0
455,2226,2241,2020-03-02,1280.0
456,2226,2241,2020-03-09,780.0
457,2226,2241,2020-03-16,530.0
458,2226,2241,2020-03-23,240.0
459,2226,2241,2020-03-30,130.0
460,2226,2241,2020-04-06,120.0
461,2226,2241,2020-04-13,40.0
462,2226,2241,2020-04-20,220.0
463,2226,2241,2020-04-27,90.0
464,2226,2241,2020-05-04,310.0
465,2226,2241,2020-05-11,510.0
466,2226,2241,2020-06-01,270.0
467,2226,2241,2020-06-08,340.0
468,2226,2241,2020-06-15,220.0
469,2226,2241,2020-06-22,310.0
470,2226,2241,2020-06-29,210.0
471,2226,2241,2020-07-06,190.0
472,2226,2241,2020-07-13,370.0
473,2226,2241,2020-07-20,490.0
474,2226,2241,2020-07-27,400.0
475,2226,2241,2020-08-03,400.0
476,2226,2241,2020-08-10,240.0
477,2226,2241,2020-08-24,200.0
478,2226,2241,2020-08-31,60.0
479,2226,2241,2020-09-07,180.0
480,2226,2241,2020-09-14,370.0
481,2226,2241,2020-09-21,80.0
482,2226,2241,2020-09-28,230.0
483,2226,2241,2020-10-05,100.0
484,2226,2241,2020-10-12,550.0
485,2226,2241,2020-10-19,210.0
486,2226,2241,2020-10-26,180.0
487,2226,2241,2020-11-09,60.0
488,2226,2241,2020-11-30,50.0
489,2226,2241,2020-12-07,1360.0
490,2226,2241,2020-12-14,470.0
491,2226,2241,2020-12-21,220.0
492,2226,2241,2020-12-28,210.0
493,2226,2242,2020-01-06,110.0
494,2226,2242,2020-01-13,180.0
495,2226,2242,2020-01-20,140.0
496,2226,2242,2020-01-27,140.0
497,2226,2242,2020-02-03,200.0
498,2226,2242,2020-02-10,150.0
499,2226,2242,2020-02-17,30.0
500,2226,2242,2020-02-24,140.0
501,2226,2242,2020-03-02,160.0
502,2226,2242,2020-03-09,140.0
503,2226,2242,2020-03-16,30.0
504,2226,2242,2020-03-23,20.0
505,2226,2242,2020-04-27,60.0
506,2226,2242,2020-05-25,500.0
507,2226,2242,2020-06-01,30.0
508,2226,2242,2020-06-15,30.0
509,2226,2242,2020-06-22,160.0
510,2226,2242,2020-06-29,20.0
511,2226,2242,2020-07-06,470.0
512,2226,2242,2020-07-13,450.0
513,2226,2242,2020-07-20,360.0
514,2226,2242,2020-07-27,430.0
515,2226,2242,2020-08-03,130.0
516,2226,2242,2020-08-10,640.0
517,2226,2242,2020-08-17,510.0
518,2226,2242,2020-08-24,490.0
519,2226,2242,2020-08-31,70.0
520,2226,2242,2020-09-07,80.0
521,2226,2242,2020-09-14,90.0
522,2226,2242,2020-09-21,270.0
523,2226,2242,2020-09-28,180.0
524,2226,2242,2020-10-05,50.0
525,2226,2242,2020-10-12,80.0
526,2226,2242,2020-10-19,30.0
527,2226,2242,2020-10-26,130.0
528,2226,2242,2020-11-09,30.0
529,2226,2242,2020-12-07,30.0
530,2226,2242,2020-12-14,30.0
531,2226,2242,2020-12-21,360.0
532,2226,2242,2020-12-28,270.0
533,2226,2243,2020-01-06,150.0
534,2226,2243,2020-01-13,30.0
535,2226,2243,2020-02-10,230.0
536,2226,2243,2020-02-17,320.0
537,2226,2243,2020-02-24,100.0
538,2226,2243,2020-03-02,230.0
539,2226,2243,2020-03-09,120.0
540,2226,2243,2020-03-16,130.0
541,2226,2243,2020-03-23,140.0
542,2226,2243,2020-03-30,30.0
543,2226,2243,2020-04-06,70.0
544,2226,2243,2020-04-13,130.0
545,2226,2243,2020-04-20,50.0
546,2226,2243,2020-04-27,270.0
547,2226,2243,2020-05-11,120.0
548,2226,2243,2020-05-18,40.0
549,2226,2243,2020-05-25,550.0
550,2226,2243,2020-06-01,590.0
551,2226,2243,2020-06-08,70.0
552,2226,2243,2020-06-15,100.0
553,2226,2243,2020-06-22,250.0
554,2226,2243,2020-06-29,30.0
555,2226,2243,2020-07-06,230.0
556,2226,2243,2020-07-13,110.0
557,2226,2243,2020-07-20,160.0
558,2226,2243,2020-07-27,170.0
559,2226,2243,2020-08-03,330.0
560,2226,2243,2020-08-10,130.0
561,2226,2243,2020-08-17,140.0
562,2226,2243,2020-08-24,1000.0
563,2226,2243,2020-08-31,300.0
564,2226,2243,2020-09-07,280.0
565,2226,2243,2020-09-14,180.0
566,2226,2243,2020-09-21,120.0
567,2226,2243,2020-09-28,300.0
568,2226,2243,2020-10-05,190.0
569,2226,2243,2020-10-12,140.0
570,2226,2243,2020-10-19,90.0
571,2226,2243,2020-10-26,230.0
572,2226,2243,2020-11-02,440.0
573,2226,2243,2020-11-09,170.0
574,2226,2243,2020-11-23,230.0
575,2226,2243,2020-11-30,470.0
576,2226,2243,2020-12-07,450.0
577,2226,2243,2020-12-14,260.0
578,2226,2243,2020-12-21,560.0
579,2226,2243,2020-12-28,530.0
580,2226,2244,2020-01-06,230.0
581,2226,2244,2020-01-13,30.0
582,2226,2244,2020-01-20,260.0
583,2226,2244,2020-01-27,300.0
584,2226,2244,2020-02-03,510.0
585,2226,2244,2020-02-10,640.0
586,2226,2244,2020-02-17,370.0
587,2226,2244,2020-02-24,290.0
588,2226,2244,2020-03-02,2200.0
589,2226,2244,2020-03-09,1860.0
590,2226,2244,2020-03-16,940.0
591,2226,2244,2020-03-23,160.0
592,2226,2244,2020-03-30,50.0
593,2226,2244,2020-04-06,260.0
594,2226,2244,2020-04-13,180.0
595,2226,2244,2020-04-20,280.0
596,2226,2244,2020-04-27,160.0
597,2226,2244,2020-05-04,160.0
598,2226,2244,2020-05-18,520.0
599,2226,2244,2020-05-25,510.0
600,2226,2244,2020-06-01,1070.0
601,2226,2244,2020-06-08,510.0
602,2226,2244,2020-06-15,390.0
603,2226,2244,2020-06-22,180.0
604,2226,2244,2020-06-29,310.0
605,2226,2244,2020-07-06,1460.0
606,2226,2244,2020-07-13,1550.0
607,2226,2244,2020-07-20,2200.0
608,2226,2244,2020-07-27,2160.0
609,2226,2244,2020-08-03,1560.0
610,2226,2244,2020-08-10,1360.0
611,2226,2244,2020-08-17,1470.0
612,2226,2244,2020-08-24,1910.0
613,2226,2244,2020-08-31,1010.0
614,2226,2244,2020-09-07,1510.0
615,2226,2244,2020-09-14,1140.0
616,2226,2244,2020-09-21,1280.0
617,2226,2244,2020-09-28,870.0
618,2226,2244,2020-10-05,1010.0
619,2226,2244,2020-10-12,880.0
620,2226,2244,2020-10-19,1290.0
621,2226,2244,2020-10-26,1320.0
622,2226,2244,2020-11-02,1000.0
623,2226,2244,2020-11-09,930.0
624,2226,2244,2020-11-16,800.0
625,2226,2244,2020-11-23,880.0
626,2226,2244,2020-11-30,790.0
627,2226,2244,2020-12-07,2320.0
628,2226,2244,2020-12-14,1920.0
629,2226,2244,2020-12-21,820.0
630,2226,2244,2020-12-28,650.0
631,2226,2246,2020-01-06,140.0
632,2226,2246,2020-01-13,60.0
633,2226,2246,2020-01-20,110.0
634,2226,2246,2020-01-27,340.0
635,2226,2246,2020-02-03,190.0
636,2226,2246,2020-02-10,130.0
637,2226,2246,2020-02-17,40.0
638,2226,2246,2020-02-24,30.0
639,2226,2246,2020-03-02,380.0
640,2226,2246,2020-03-09,380.0
641,2226,2246,2020-03-16,360.0
642,2226,2246,2020-03-23,930.0
643,2226,2246,2020-03-30,180.0
644,2226,2246,2020-04-06,350.0
645,2226,2246,2020-04-13,50.0
646,2226,2246,2020-05-04,30.0
647,2226,2246,2020-05-11,170.0
648,2226,2246,2020-05-18,410.0
649,2226,2246,2020-05-25,310.0
650,2226,2246,2020-06-01,510.0
651,2226,2246,2020-06-08,440.0
652,2226,2246,2020-06-15,240.0
653,2226,2246,2020-06-22,740.0
654,2226,2246,2020-06-29,310.0
655,2226,2246,2020-07-06,590.0
656,2226,2246,2020-07-13,300.0
657,2226,2246,2020-07-20,500.0
658,2226,2246,2020-07-27,570.0
659,2226,2246,2020-08-03,650.0
660,2226,2246,2020-08-10,730.0
661,2226,2246,2020-08-17,920.0
662,2226,2246,2020-08-24,1340.0
663,2226,2246,2020-08-31,900.0
664,2226,2246,2020-09-07,620.0
665,2226,2246,2020-09-14,430.0
666,2226,2246,2020-09-21,430.0
667,2226,2246,2020-09-28,190.0
668,2226,2246,2020-10-05,460.0
669,2226,2246,2020-10-12,790.0
670,2226,2246,2020-10-19,500.0
